epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1049.59,2.05418,0.89397,1.80856,0.9401,0.91037,0.95924,0.68569,2.1063,0.87227,1.87286,0.000242087,0.000242087,0.000242087
81,1062.05,2.12084,0.92592,1.81825,0.93835,0.91023,0.95908,0.68479,2.10176,0.87852,1.86891,0.000231088,0.000231088,0.000231088
82,1074.21,2.08193,0.89399,1.80088,0.94487,0.90377,0.95915,0.68076,2.15087,0.87893,1.87864,0.000220089,0.000220089,0.000220089
83,1085.98,2.11205,0.90263,1.8105,0.9344,0.91352,0.96072,0.69001,2.08968,0.86651,1.87253,0.00020909,0.00020909,0.00020909
84,1097.73,2.06176,0.8824,1.80625,0.93946,0.90401,0.95863,0.68736,2.07736,0.8593,1.87338,0.000198091,0.000198091,0.000198091
85,1109.85,2.08036,0.88774,1.81204,0.94263,0.91631,0.96341,0.69199,2.09261,0.85333,1.87041,0.000187092,0.000187092,0.000187092
86,1122.26,2.12214,0.89841,1.80378,0.94956,0.9083,0.96256,0.68686,2.10063,0.8551,1.87435,0.000176094,0.000176094,0.000176094
87,1134.7,2.07193,0.88306,1.8088,0.9442,0.91535,0.96278,0.6915,2.11148,0.85621,1.87443,0.000165095,0.000165095,0.000165095
88,1146.39,2.07206,0.88169,1.79737,0.94968,0.90376,0.96106,0.68946,2.13126,0.86766,1.87455,0.000154096,0.000154096,0.000154096
89,1158.26,2.10272,0.89483,1.80061,0.9469,0.90766,0.96092,0.68898,2.09359,0.84736,1.87049,0.000143097,0.000143097,0.000143097
90,1170.24,2.068,0.88076,1.80769,0.94294,0.91432,0.96166,0.69301,2.07315,0.84108,1.87033,0.000132098,0.000132098,0.000132098
91,1184.8,1.96687,0.85218,1.79946,0.94107,0.91775,0.96213,0.68761,2.08512,0.85506,1.87433,0.000121099,0.000121099,0.000121099
92,1203.85,1.97781,0.83705,1.80157,0.94421,0.90945,0.96243,0.68907,2.12445,0.8549,1.87067,0.0001101,0.0001101,0.0001101
93,1215.34,1.97724,0.82722,1.78539,0.94104,0.91158,0.96125,0.69052,2.11401,0.85327,1.8702,9.91012e-05,9.91012e-05,9.91012e-05
94,1228.03,1.94905,0.82591,1.79459,0.95007,0.90508,0.96279,0.68918,2.10345,0.84734,1.87349,8.81023e-05,8.81023e-05,8.81023e-05
95,1239.7,1.97529,0.82531,1.79672,0.94057,0.91508,0.96203,0.69101,2.16368,0.85559,1.88307,7.71034e-05,7.71034e-05,7.71034e-05
96,1251.82,1.98082,0.83727,1.78826,0.94219,0.91531,0.96317,0.69134,2.14835,0.85035,1.88062,6.61045e-05,6.61045e-05,6.61045e-05
97,1263.48,1.94491,0.81423,1.79072,0.94058,0.91691,0.96193,0.69179,2.13118,0.85204,1.87529,5.51056e-05,5.51056e-05,5.51056e-05
98,1275.21,1.94776,0.8084,1.79605,0.93831,0.91729,0.96234,0.6916,2.11388,0.85363,1.87801,4.41067e-05,4.41067e-05,4.41067e-05
99,1286.93,1.95675,0.81445,1.79732,0.93977,0.91754,0.96256,0.69153,2.13712,0.85777,1.87848,3.31078e-05,3.31078e-05,3.31078e-05
100,1298.52,1.9305,0.79449,1.78506,0.94337,0.91367,0.96176,0.69214,2.13417,0.84427,1.87757,2.21089e-05,2.21089e-05,2.21089e-05
